"Country","Region","IncomeG","Year","LifeExp","AdultM","InfantD","Alcohol","PercHealthExp","HepsB","Measles","BMI","Und5Deaths","Polio","GovHealthExp","Diph","HIV","GDP","Pop","Thin10_19Yrs","Thin5_9Yrs","Schooling"
"Angola","Sub-Saharan Africa","Middle Income",2009,49.1,369,81,7.01,212.9229325,61,2807,19.8,127,63,4.37,6,2.5,3347.84485,22514275,9.3,9.2,8.5
"Angola","Sub-Saharan Africa","Middle Income",2008,48.7,371,84,7.07,249.9101958,69,265,19.3,133,65,3.84,69,2.6,3868.578883,21695636,9.5,9.4,8.1
"Angola","Sub-Saharan Africa","Middle Income",2007,48.2,375,87,6.35,184.8213446,73,1014,18.8,138,75,3.38,73,2.6,2878.837144,20905360,9.6,9.6,7.7
"Angola","Sub-Saharan Africa","Middle Income",2006,47.7,381,90,5.84,25.08688824,NA,765,18.2,143,36,4.54,34,2.5,262.415149,20149905,9.8,9.7,7.2
"Angola","Sub-Saharan Africa","Middle Income",2005,47.4,382,92,5.04,98.19145117,NA,258,17.7,148,39,4.1,38,2.6,1443.991929,19433604,1,9.9,6.8
"Angola","Sub-Saharan Africa","Middle Income",2004,47.1,386,94,3.53,8.8667775,NA,29,17.2,152,4,4.71,4,2.5,141.86844,18758138,1.2,1.1,6.4
"Angola","Sub-Saharan Africa","Middle Income",2003,46.8,388,95,3.49,35.93349121,NA,1196,16.8,155,4,4.41,4,2.4,779.468356,18121477,1.4,1.3,5.9
"Angola","Sub-Saharan Africa","Middle Income",2002,46.5,391,96,2.82,24.037942,NA,11945,16.3,157,37,3.63,41,2.3,711.181716,17519418,1.5,1.5,5.5
"Angola","Sub-Saharan Africa","Middle Income",2001,45.7,44,97,2.58,30.35993647,NA,9046,15.8,159,41,5.38,38,2.1,526.168743,16945753,1.7,1.7,5.1
"Angola","Sub-Saharan Africa","Middle Income",2000,45.3,48,97,1.85,15.88149254,NA,2219,15.4,160,3,2.79,28,2,555.2969419,16395477,1.9,1.9,4.6
"Antigua and Barbuda","Latin America & Caribbean","High Income",2015,76.4,13,0,NA,0,99,0,47.7,0,86,NA,99,0.2,13566.9541,93571,3.3,3.3,13.9
"Antigua and Barbuda","Latin America & Caribbean","High Income",2014,76.2,131,0,8.56,2422.999774,99,0,47,0,96,5.54,99,0.2,12888.29667,92562,3.3,3.3,13.9
"Antigua and Barbuda","Latin America & Caribbean","High Income",2013,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,91510,3.3,3.3,13.9
"Antigua and Barbuda","Latin America & Caribbean","High Income",2012,75.9,134,0,8.18,2156.229842,98,0,45.7,0,97,5.39,98,0.2,12565.44197,90407,3.3,3.3,13.8
"Antigua and Barbuda","Latin America & Caribbean","High Income",2011,75.7,136,0,7.84,1810.875316,99,0,45.1,0,99,5.65,99,0.1,11929.34991,89250,3.3,3.3,14.1
"Antigua and Barbuda","Latin America & Caribbean","High Income",2010,75.6,138,0,7.84,1983.956937,98,0,44.4,0,99,5.63,98,0.1,12126.87614,88030,3.3,3.3,14.1
"Antigua and Barbuda","Latin America & Caribbean","High Income",2009,75.4,14,0,7.82,149.3587355,98,0,43.8,0,98,4.86,99,0.1,1312.46692,86743,3.4,3.3,14.2
"Antigua and Barbuda","Latin America & Caribbean","High Income",2008,75.2,142,0,8.27,180.7762695,98,0,43.2,0,99,4.69,99,0.1,1473.31923,85394,3.4,3.3,14.4
"Antigua and Barbuda","Latin America & Caribbean","High Income",2007,75,144,0,8.64,257.9665308,97,0,42.6,0,98,4.27,99,0.1,14252.29452,84029,3.4,3.3,14.5
"Antigua and Barbuda","Latin America & Caribbean","High Income",2006,74.8,145,0,8.93,216.3146941,99,0,42,0,99,4.34,99,0.1,12724.39377,82715,3.4,3.4,14.7
"Antigua and Barbuda","Latin America & Caribbean","High Income",2005,74.6,147,0,8.15,1455.608186,99,0,41.4,0,98,4.41,99,0.1,11371.93895,81462,3.5,3.4,0
"Antigua and Barbuda","Latin America & Caribbean","High Income",2004,74.4,149,0,7.28,22.86295206,97,0,4.8,0,97,4.21,97,0.1,1352.8374,80347,3.5,3.4,0
"Antigua and Barbuda","Latin America & Caribbean","High Income",2003,74.2,151,0,7.16,1158.065259,99,0,4.1,0,99,4.53,99,0.1,9739.82556,79311,3.5,3.5,0
"Antigua and Barbuda","Latin America & Caribbean","High Income",2002,74,153,0,7.21,927.4075855,99,0,39.5,0,93,4.41,98,0.1,9386.716452,78298,3.6,3.5,0
"Antigua and Barbuda","Latin America & Caribbean","High Income",2001,73.8,154,0,7.51,163.7676978,96,0,38.9,0,99,4.48,97,0.1,9358.154162,77212,3.6,3.5,0
"Antigua and Barbuda","Latin America & Caribbean","High Income",2000,73.6,156,0,7.27,1127.74347,NA,0,38.2,0,96,4.13,95,0.1,9875.161736,76007,3.7,3.6,0
"Argentina","Latin America & Caribbean","High Income",2015,76.3,116,8,NA,0,94,0,62.8,9,93,NA,94,0.1,13467.1236,43131966,1,0.9,17.3
"Argentina","Latin America & Caribbean","High Income",2014,76.2,118,8,7.93,847.3717463,94,1,62.2,9,92,4.79,94,0.1,12245.25645,42669500,1,0.9,17.3
"Argentina","Latin America & Caribbean","High Income",2013,76,119,8,8.28,1001.796332,94,0,61.6,10,99,4.99,94,0.1,12976.63642,42202935,1,0.9,17.3
"Argentina","Latin America & Caribbean","High Income",2012,75.9,12,9,8.35,1133.558003,91,2,61,10,99,5.2,91,0.1,12969.7712,41733271,1,0.9,17.2
"Argentina","Latin America & Caribbean","High Income",2011,75.7,12,9,8.11,1504.329462,91,3,6.4,10,93,5.89,91,0.1,12726.9836,41261490,1,0.9,17.1
"Argentina","Latin America & Caribbean","High Income",2010,75.5,121,10,8.15,187.610955,94,17,59.8,11,95,6.55,94,0.1,1276.265,40788453,1,0.9,16.8
"Argentina","Latin America & Caribbean","High Income",2009,75.6,126,10,8.33,1398.042623,94,3,59.2,11,97,7.63,94,0.1,8161.36966,40482786,1,0.9,16.5
"Argentina","Latin America & Caribbean","High Income",2008,75.4,126,10,8.41,1413.73543,9,0,58.6,11,94,6.66,93,0.1,8953.359275,40080159,1,0.9,16.3
"Argentina","Latin America & Caribbean","High Income",2007,74.8,129,10,8.16,1105.659031,85,0,58,12,92,6.49,91,0.1,7193.61764,39684303,1.1,0.9,16.3
"Argentina","Latin America & Caribbean","High Income",2006,75.2,127,11,7.75,961.1774676,84,0,57.5,12,92,6.68,91,0.1,5878.76127,39289876,1.1,0.9,16.1
"Argentina","Latin America & Caribbean","High Income",2005,74.9,127,11,7.53,96.16653429,88,0,56.9,12,95,6.85,98,0.1,576.883829,38892924,1.1,1,16.3
"Argentina","Latin America & Caribbean","High Income",2004,74.7,13,11,7.63,719.3663797,81,0,56.3,12,91,6.84,98,0.1,4251.574348,38491970,1.1,1,16.3
"Argentina","Latin America & Caribbean","High Income",2003,74.1,137,11,7.62,57.58467352,73,0,55.7,13,95,8.22,96,0.1,333.4376,38087866,1.2,1,16.4
"Argentina","Latin America & Caribbean","High Income",2002,74.1,138,12,7.81,470.1869145,66,0,55.1,13,94,8.31,93,0.1,2579.193168,37681743,1.2,1,16.3
"Argentina","Latin America & Caribbean","High Income",2001,74,138,12,7.76,123.0128671,NA,0,54.6,13,85,9.38,83,0.1,717.694674,37275644,1.2,1.1,15.6
"Argentina","Latin America & Caribbean","High Income",2000,74.1,137,12,7.68,1349.025282,NA,6,54,14,88,9.21,83,0.1,7669.273916,36870796,1.2,1.1,15
"Armenia","Europe & Central Asia","Low Income",2015,74.8,118,1,NA,0,94,33,54.9,1,96,NA,94,0.1,369.654776,2925559,2.1,2.2,12.7
"Armenia","Europe & Central Asia","Low Income",2014,74.6,12,1,3.91,295.6087143,93,13,54.1,1,95,4.48,93,0.1,3994.712355,2912403,2.1,2.1,12.7
"Armenia","Europe & Central Asia","Low Income",2013,74.4,123,1,3.79,279.4290812,95,10,53.3,1,96,4.55,95,0.1,3843.591213,2897593,2.1,2.1,12.7
"Armenia","Europe & Central Asia","Low Income",2012,74.4,121,1,3.89,274.1526986,95,0,52.6,1,96,4.48,95,0.1,3684.8481,2884239,2,2.1,12.7
"Armenia","Europe & Central Asia","Low Income",2011,73.9,128,1,4.09,260.9963826,95,0,51.9,1,96,3.71,95,0.1,3526.978143,2876536,2,2.1,12.7
"Armenia","Europe & Central Asia","Low Income",2010,73.5,132,1,4.23,224.3212014,94,2,51.2,1,96,4.56,94,0.1,3218.381655,2877314,2,2.1,12.3
"Armenia","Europe & Central Asia","Low Income",2009,73.3,137,1,3.96,201.1855461,93,0,5.7,1,94,4.55,93,0.1,2993.832531,2888094,2,2.1,11.9
"Armenia","Europe & Central Asia","Low Income",2008,73.2,14,1,3.96,2.8888979,89,0,5.1,1,91,3.8,89,0.1,41.26997,2907615,2,2.1,12.3
"Armenia","Europe & Central Asia","Low Income",2007,73.5,132,1,3.99,44.57219966,85,1,49.7,1,9,4.31,88,0.1,3138.8873,2932615,2,2.1,11.7
"Armenia","Europe & Central Asia","Low Income",2006,72.9,141,1,4.01,244.5352767,78,137,49.2,1,87,4.58,87,0.1,2158.299,2958301,2,2.1,11.2
"Armenia","Europe & Central Asia","Low Income",2005,73,137,1,4.25,20.21822828,91,2281,48.8,1,92,5.25,9,0.1,1643.758397,2981262,2,2.1,10.9
"Armenia","Europe & Central Asia","Low Income",2004,73,132,1,3.81,97.74087744,91,1783,48.4,1,93,5.5,91,0.1,1191.96192,3000715,2,2.1,10.9
"Armenia","Europe & Central Asia","Low Income",2003,72.7,134,1,3.03,7.341493148,93,4,48.1,1,96,5.56,94,0.1,93.1661567,3017938,2,2.1,10.8
"Armenia","Europe & Central Asia","Low Income",2002,72.6,134,1,2.86,57.17810403,91,40,47.8,1,96,5.4,94,0.1,783.261699,3033976,2.1,2.1,10.8
"Armenia","Europe & Central Asia","Low Income",2001,72.6,141,1,2.86,53.19373012,69,69,47.4,1,97,5.94,94,0.1,694.435119,3050686,2.1,2.1,11.1
"Armenia","Europe & Central Asia","Low Income",2000,72,142,1,2.9,32.75626853,55,15,47.1,1,96,6.25,93,0.1,622.7427477,3069597,2.1,2.2,11.2
"Australia","East Asia & Pacific","High Income",2015,82.8,59,1,NA,0,93,74,66.6,1,93,NA,93,0.1,56554.3876,23815995,0.6,0.6,20.4
"Australia","East Asia & Pacific","High Income",2014,82.7,6,1,9.71,10769.36305,91,340,66.1,1,92,9.42,92,0.1,62214.6912,23475686,0.6,0.6,20.4
"Australia","East Asia & Pacific","High Income",2013,82.5,61,1,9.87,11734.85381,91,158,65.5,1,91,9.36,91,0.1,67792.3386,23128129,0.6,0.6,20.3
"Australia","East Asia & Pacific","High Income",2012,82.3,61,1,10.03,11714.99858,91,199,65,1,92,9.36,92,0.1,67677.63477,22733465,0.6,0.6,20.1
"Australia","East Asia & Pacific","High Income",2011,82,63,1,10.3,10986.26527,92,190,64.4,1,92,9.2,92,0.1,62245.129,22340024,0.6,0.6,19.8
"Australia","East Asia & Pacific","High Income",2010,81.9,64,1,10.52,8875.786493,92,70,63.9,1,92,9.2,92,0.1,51874.848,22031750,0.7,0.6,19.5
"Australia","East Asia & Pacific","High Income",2009,81.7,66,1,10.62,7172.275229,94,104,63.4,1,92,9.5,92,0.1,42742.99898,21691700,0.7,0.6,19.1
"Australia","East Asia & Pacific","High Income",2008,81.3,66,1,10.76,8547.292357,94,65,62.9,1,92,8.78,92,0.1,49664.6854,21249200,0.7,0.6,19.1
"Australia","East Asia & Pacific","High Income",2007,81.3,66,1,10.56,872.5986092,94,11,62.5,2,92,8.53,92,0.1,4991.98289,20827600,0.7,0.6,19
"Australia","East Asia & Pacific","High Income",2006,81.2,66,1,10.31,6187.062017,95,0,62,2,92,8.49,92,0.1,36118.28381,20697900,0.7,0.6,20.3
"Australia","East Asia & Pacific","High Income",2005,81,67,1,10.3,579.1331637,95,10,61.5,2,92,8.45,92,0.1,3416.71483,20394800,0.7,0.6,20.3
"Australia","East Asia & Pacific","High Income",2004,86,69,1,9.84,588.568371,95,70,6.9,1,92,8.57,92,0.1,3472.37977,20127400,0.7,0.6,20.7
"Australia","East Asia & Pacific","High Income",2003,83,71,1,9.97,3829.550928,95,91,6.3,1,92,8.32,93,0.1,23465.38559,19895400,0.7,0.7,20.6
"Australia","East Asia & Pacific","High Income",2002,79.9,73,1,9.84,46.3871819,95,32,59.6,2,92,8.39,92,0.1,281.81763,19651400,0.7,0.7,20.1
"Australia","East Asia & Pacific","High Income",2001,79.9,75,1,9.53,3064.301144,94,141,59,2,91,8.18,92,0.1,19517.84168,19413000,0.7,0.7,20.5
"Australia","East Asia & Pacific","High Income",2000,79.5,78,1,10.17,347.18736,NA,108,58.2,2,9,8.8,9,0.1,2169.921,19153000,0.7,0.7,20.4
"Austria","Europe & Central Asia","High Income",2015,81.5,65,0,NA,0,93,309,57.6,0,93,NA,93,0.1,43665.947,8642699,1.9,2.1,15.9
"Austria","Europe & Central Asia","High Income",2014,81.4,66,0,12.32,8350.193523,98,117,57.1,0,98,11.21,98,0.1,51322.63997,8546356,1.8,2,15.9
"Austria","Europe & Central Asia","High Income",2013,81.1,68,0,11.82,90.58501176,95,0,56.6,0,95,11.14,95,0.1,554.71532,8479823,1.8,2,15.7
"Austria","Europe & Central Asia","High Income",2012,88,7,0,12.26,7878.372355,92,36,56.1,0,92,11.17,92,0.1,48333.57273,8429991,1.8,2,15.7
"Austria","Europe & Central Asia","High Income",2011,88,73,0,12.04,8272.306757,89,68,55.7,0,89,1.94,89,0.1,51126.74139,8391643,1.7,2,15.7
"Austria","Europe & Central Asia","High Income",2010,84,75,0,12.1,7423.228774,86,52,55.2,0,86,11.17,86,0.1,46657.629,8363404,1.7,1.9,15.4
"Austria","Europe & Central Asia","High Income",2009,82,77,0,11.3,8053.557638,83,49,54.7,0,83,11.19,83,0.1,47654.18721,8343323,1.7,1.9,15.3
"Austria","Europe & Central Asia","High Income",2008,84,76,0,12,8329.731655,83,448,54.2,0,83,1.6,83,0.1,51386.37665,8321496,1.7,1.9,15.1
"Austria","Europe & Central Asia","High Income",2007,81,8,0,12.5,7453.8644,85,20,53.7,0,85,1.4,85,0.1,46586.6525,8295487,1.7,1.9,15.2
"Austria","Europe & Central Asia","High Income",2006,79.8,81,0,12.4,69.92899358,83,23,53.2,0,83,1.35,83,0.1,443.99361,8268641,1.7,1.9,15
"Austria","Europe & Central Asia","High Income",2005,79.4,85,0,12.4,5992.588029,86,9,52.7,0,86,1.53,86,0.1,38242.4252,8227829,1.7,1.9,14.9
"Austria","Europe & Central Asia","High Income",2004,79.3,86,0,12.1,5316.877456,83,15,52.2,0,83,1.56,83,0.1,36693.4262,8171966,1.7,1.9,14.7
"Austria","Europe & Central Asia","High Income",2003,78.8,88,0,12.2,504.4308735,83,90,51.7,0,84,1.48,84,0.1,3212.9355,8121423,1.7,1.9,14.7
"Austria","Europe & Central Asia","High Income",2002,78.7,9,0,12.5,3979.057728,81,0,51.2,0,82,1.27,83,0.1,26351.37568,8081957,1.7,1.9,16.1
"Austria","Europe & Central Asia","High Income",2001,78.6,92,0,12.4,3582.848308,44,0,5.6,0,83,1.12,84,0.1,24489.73553,8042293,1.7,1.9,15.5
"Austria","Europe & Central Asia","High Income",2000,78.1,96,0,13.2,3557.455507,33,0,5.1,0,71,1.6,81,0.1,24517.26745,8011566,1.7,1.9,15.4
"Azerbaijan","Europe & Central Asia","Middle Income",2015,72.7,118,5,NA,0,96,0,52.5,6,98,NA,96,0.1,55.31382,9649341,2.8,2.9,12.7
"Azerbaijan","Europe & Central Asia","Middle Income",2014,72.5,119,5,0.01,306.1824313,94,0,51.5,6,97,6.4,94,0.1,7891.299776,9535079,2.8,2.9,12.2
"Azerbaijan","Europe & Central Asia","Middle Income",2013,72.2,121,5,2.14,275.6514934,93,164,5.6,6,96,5.54,93,0.1,7875.756953,9416801,2.8,2.8,11.9
"Azerbaijan","Europe & Central Asia","Middle Income",2012,71.9,123,5,0.01,285.6103912,88,0,49.7,6,92,5.37,89,0.1,7496.335728,9295784,2.8,2.8,11.8
"Azerbaijan","Europe & Central Asia","Middle Income",2011,71.6,125,5,1.98,263.142699,84,0,48.8,6,91,5.1,87,0.1,7189.691229,9173082,2.8,2.9,11.7
"Azerbaijan","Europe & Central Asia","Middle Income",2010,71.1,13,5,1.98,246.5686008,8,0,48,6,85,5.33,81,0.1,5842.85784,9054332,2.8,2.9,11.7
"Azerbaijan","Europe & Central Asia","Middle Income",2009,78,132,6,2.1,22.48638351,74,0,47.3,6,84,5.85,81,0.1,495.294791,8947243,2.8,2.9,11.6
"Azerbaijan","Europe & Central Asia","Middle Income",2008,73,141,6,1.18,206.2616134,68,5,46.6,6,85,4.37,81,0.1,5574.6382,8763400,2.8,2.9,11.6
"Azerbaijan","Europe & Central Asia","Middle Income",2007,73,14,6,1.02,176.0107106,62,0,45.9,7,81,5.1,79,0.1,3851.437869,8581300,2.8,2.9,11.6
"Azerbaijan","Europe & Central Asia","Middle Income",2006,69.2,154,6,0.85,105.6337264,52,222,45.3,7,8,6.17,78,0.1,2473.85776,8484550,2.9,2.9,10.7
"Azerbaijan","Europe & Central Asia","Middle Income",2005,68.4,162,6,0.73,81.28883085,49,1238,44.7,7,79,7.86,75,0.1,1578.4239,8391850,2.9,3,11.2
"Azerbaijan","Europe & Central Asia","Middle Income",2004,68.4,154,6,0.62,8.59680496,5,827,44.2,8,78,7.92,77,0.1,145.2163,8306500,3,3,11
"Azerbaijan","Europe & Central Asia","Middle Income",2003,67.8,154,7,0.55,42.41491183,51,1978,43.6,8,79,6.56,77,0.1,883.6439965,8234100,3,3,10.8
"Azerbaijan","Europe & Central Asia","Middle Income",2002,67.8,146,7,0.55,39.33253687,5,4353,43.1,9,8,4.47,76,0.1,763.73858,8171950,3.1,3.1,10.6
"Azerbaijan","Europe & Central Asia","Middle Income",2001,67.5,151,8,0.51,4.104190077,NA,574,42.6,10,77,4.48,77,0.1,73.6838434,8111200,3.1,3.1,10.4
"Azerbaijan","Europe & Central Asia","Middle Income",2000,66.6,16,9,0.65,35.09462644,NA,210,42.1,11,75,4.67,76,0.1,655.974326,8048600,3.2,3.1,10.1
"Bahamas","Latin America & Caribbean","High Income",2015,76.1,147,0,NA,0,95,0,64.5,0,95,NA,95,0.1,NA,374200,2.5,2.5,12.6
"Bahamas","Latin America & Caribbean","High Income",2014,75.4,16,0,9.45,0,96,0,63.8,0,96,7.74,96,0.1,NA,370625,2.5,2.5,12.6
